,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,dot_size,,,,,
334,Chinstrap,Dream,49.3,19.9,203,4050,male,2009,2.585710799,,,,,
335,Chinstrap,Dream,50.2,18.8,202,3800,male,2009,2.71661989,,,,,
336,Chinstrap,Dream,45.6,19.4,194,3525,female,2009,2.047528981,,,,,
337,Chinstrap,Dream,51.9,19.5,206,3950,male,2009,2.963892617,,,,,
338,Chinstrap,Dream,46.8,16.5,189,3650,female,2009,2.222074436,,,,,
339,Chinstrap,Dream,45.7,17,195,3650,female,2009,2.062074436,,,,,
340,Chinstrap,Dream,55.8,19.8,207,4000,male,2009,3.531165345,,,,,
341,Chinstrap,Dream,43.5,18.1,202,3400,female,2009,1.742074436,,,,,
342,Chinstrap,Dream,49.6,18.2,193,3775,male,2009,2.629347163,,,,,
343,Chinstrap,Dream,50.8,19,210,4100,male,2009,2.803892617,,,,,
344,Chinstrap,Dream,50.2,18.7,198,3775,female,2009,2.71661989,,,,,
